Date,Amount
01/01/17,56
01/02/17,0
01/03/17,0
01/04/17,0
01/05/17,0
01/06/17,0
01/07/17,0
01/08/17,0
01/09/17,0
01/10/17,0
01/11/17,0
01/12/17,0
01/13/17,0
01/14/17,0
01/15/17,0
01/16/17,0
01/17/17,0
01/18/17,0
01/19/17,0
01/20/17,0
01/21/17,0
01/22/17,0
01/23/17,0
01/24/17,0
01/25/17,0
01/26/17,0
01/27/17,0
01/28/17,0
01/29/17,0
01/30/17,0
01/31/17,0
02/01/17,0
02/02/17,0
02/03/17,0
02/04/17,34
02/05/17,66
02/06/17,0
02/07/17,0
02/08/17,0
02/09/17,0
02/10/17,0
02/11/17,0
02/12/17,0
02/13/17,0
02/14/17,0
02/15/17,0
02/16/17,0
02/17/17,0
02/18/17,51
02/19/17,0
02/20/17,0
02/21/17,0
02/22/17,0
02/23/17,0
02/24/17,0
02/25/17,0
02/26/17,0
02/27/17,0
02/28/17,0
03/01/17,0
03/02/17,0
03/03/17,0
03/04/17,65
03/05/17,26
03/06/17,0
03/07/17,0
03/08/17,0
03/09/17,48
03/10/17,0
03/11/17,0
03/12/17,0
03/13/17,0
03/14/17,0
03/15/17,0
03/16/17,0
03/17/17,45
03/18/17,101
03/19/17,94
03/20/17,0
03/21/17,0
03/22/17,0
03/23/17,0
03/24/17,0
03/25/17,0
03/26/17,0
03/27/17,25
03/28/17,0
03/29/17,0
03/30/17,12
03/31/17,0
04/01/17,0
04/02/17,60
04/03/17,0
04/04/17,0
04/05/17,0
04/06/17,26
04/07/17,0
04/08/17,80
04/09/17,78
04/10/17,0
04/11/17,0
04/12/17,0
04/13/17,36
04/14/17,0
04/15/17,0
04/16/17,52
04/17/17,0
04/18/17,0
04/19/17,28
04/20/17,0
04/21/17,0
04/22/17,0
04/23/17,0
04/24/17,0
04/25/17,0
04/26/17,51
04/27/17,0
04/28/17,0
04/29/17,0
04/30/17,125
05/01/17,0
05/02/17,0
05/03/17,0
05/04/17,0
05/05/17,100
05/06/17,0
05/07/17,0
05/08/17,0
05/09/17,0
05/10/17,0
05/11/17,64
05/12/17,78
05/13/17,0
05/14/17,46
05/15/17,0
05/16/17,0
05/17/17,55
05/18/17,0
05/19/17,0
05/20/17,0
05/21/17,79
05/22/17,0
05/23/17,0
05/24/17,27
05/25/17,0
05/26/17,0
05/27/17,202
05/28/17,0
05/29/17,0
05/30/17,0
05/31/17,26
06/01/17,0
06/02/17,0
06/03/17,48
06/04/17,50
06/05/17,0
06/06/17,0
06/07/17,0
06/08/17,67
06/09/17,0
06/10/17,89
06/11/17,0
06/12/17,0
06/13/17,26
06/14/17,0
06/15/17,0
06/16/17,0
06/17/17,225
06/18/17,0
06/19/17,0
06/20/17,0
06/21/17,0
06/22/17,26
06/23/17,0
06/24/17,50
06/25/17,0
06/26/17,0
06/27/17,0
06/28/17,0
06/29/17,51
06/30/17,0
07/01/17,31
07/02/17,0
07/03/17,53
07/04/17,0
07/05/17,0
07/06/17,34
07/07/17,0
07/08/17,200
07/09/17,0
07/10/17,0
07/11/17,0
07/12/17,0
07/13/17,0
07/14/17,84
07/15/17,0
07/16/17,0
07/17/17,0
07/18/17,0
07/19/17,42
07/20/17,0
07/21/17,0
07/22/17,38
07/23/17,63
07/24/17,0
07/25/17,0
07/26/17,0
07/27/17,26
07/28/17,0
07/29/17,0
07/30/17,67
07/31/17,44
08/01/17,0
08/02/17,0
08/03/17,0
08/04/17,0
08/05/17,37
08/06/17,0
08/07/17,0
08/08/17,33
08/09/17,0
08/10/17,0
08/11/17,26
08/12/17,0
08/13/17,26
08/14/17,0
08/15/17,0
08/16/17,0
08/17/17,0
08/18/17,0
08/19/17,68
08/20/17,0
08/21/17,0
08/22/17,50
08/23/17,0
08/24/17,88
08/25/17,46
08/26/17,25
08/27/17,77
08/28/17,0
08/29/17,85
08/30/17,60
08/31/17,32
09/01/17,0
09/02/17,112
09/03/17,0
09/04/17,0
09/05/17,0
09/06/17,0
09/07/17,0
09/08/17,0
09/09/17,104
09/10/17,0
09/11/17,0
09/12/17,38
09/13/17,0
09/14/17,0
09/15/17,34
09/16/17,0
09/17/17,0
09/18/17,0
09/19/17,51
09/20/17,0
09/21/17,0
09/22/17,46
09/23/17,0
09/24/17,0
09/25/17,66
09/26/17,78
09/27/17,0
09/28/17,26
09/29/17,38
09/30/17,91
10/01/17,0
10/02/17,0
10/03/17,0
10/04/17,0
10/05/17,26
10/06/17,0
10/07/17,50
10/08/17,0
10/09/17,0
10/10/17,0
10/11/17,0
10/12/17,26
10/13/17,49
10/14/17,0
10/15/17,0
10/16/17,0
10/17/17,0
10/18/17,42
10/19/17,0
10/20/17,14
10/21/17,102
10/22/17,0
10/23/17,0
10/24/17,0
10/25/17,76
10/26/17,0
10/27/17,0
10/28/17,46
10/29/17,0
10/30/17,0
10/31/17,0
11/01/17,0
11/02/17,0
11/03/17,27
11/04/17,0
11/05/17,0
11/06/17,0
11/07/17,0
11/08/17,0
11/09/17,0
11/10/17,0
11/11/17,34
11/12/17,0
11/13/17,0
11/14/17,35
11/15/17,0
11/16/17,0
11/17/17,0
11/18/17,0
11/19/17,0
11/20/17,0
11/21/17,0
11/22/17,0
11/23/17,0
11/24/17,0
11/25/17,0
11/26/17,0
11/27/17,27
11/28/17,0
11/29/17,0
11/30/17,0
12/01/17,0
12/02/17,64
12/03/17,28
12/04/17,0
12/05/17,0
12/06/17,0
12/07/17,0
12/08/17,0
12/09/17,66
12/10/17,0
12/11/17,0
12/12/17,0
12/13/17,0
12/14/17,0
12/15/17,0
12/16/17,0
12/17/17,54
12/18/17,0
12/19/17,0
12/20/17,18
12/21/17,0
12/22/17,0
12/23/17,0
12/24/17,0
12/25/17,0
12/26/17,0
12/27/17,0
12/28/17,0
12/29/17,27
12/30/17,12
12/31/17,0